2000年無R紅大益7542 = 1688
2001年紅大益簡體 = 1519
2001年中茶綠印繁體雲7542 = 1096
2002年中茶黃印7542 = 1650
2002年211中茶黃印7542 = 1107
2002年215中茶綠印 = 1642
2002年208中茶綠印7542 = 1641
2003年中茶綠印7542 = 1303
2003年912咖啡大益7542 = 1620
2003年203紅大益7542 = 1619
2003年 紫大益7542 = 1301
501 7542 = 2003
508 7542 = 2434
604 7542 = 1347
702 7542 = 2054
802 7542 = 1159
912 中茶綠印 = 2078
1301 經典7542 = 903
1301 新版7542 = 912
1401 7542 = 1128
1401 經典7542 =  1362
1501 7542 = 1491
1601 7542 = 1523
1701 7542 = 1709
1801 7542 = 1826
1901 7542 = 2018
2001 7542 = 2354
201 經典7542 = 905
